Contig name	Start	End	Scaffold name
9820	261628	266178	scaffold_3
9142	266278	267675	scaffold_3
9510	267775	272974	scaffold_3
9299	273074	278747	scaffold_3
9859	278847	285984	scaffold_3
9231	286084	292934	scaffold_3
7356	293034	294781	scaffold_3
10444	294881	302457	scaffold_3
10374	302557	303892	scaffold_3
9269	303992	308529	scaffold_3
9718	308629	313447	scaffold_3
10226	313547	318491	scaffold_3
9160	318591	323060	scaffold_3
5827	323160	324890	scaffold_3
1720	324990	326339	scaffold_3
3710	0	1170	scaffold_4
10122	1270	4418	scaffold_4
9293	4518	8711	scaffold_4
9995	8811	14088	scaffold_4
10266	14188	22181	scaffold_4
10092	22281	35030	scaffold_4
482	35130	37068	scaffold_4
9720	37168	38963	scaffold_4
9973	39063	82635	scaffold_4
10142	82735	89382	scaffold_4
9538	89482	90978	scaffold_4
6573	91078	98701	scaffold_4
9826	98801	105354	scaffold_4
9106	105454	112177	scaffold_4
9710	112277	117535	scaffold_4
10158	117635	124786	scaffold_4
9310	124886	128140	scaffold_4
10235	128240	133648	scaffold_4
10378	133748	139197	scaffold_4
5324	139297	140687	scaffold_4
10049	140787	145648	scaffold_4
9664	145748	154861	scaffold_4
9830	154961	161004	scaffold_4
9732	161104	162833	scaffold_4
9393	162933	175798	scaffold_4
3451	175898	178156	scaffold_4
9894	178256	184788	scaffold_4
5536	184888	188179	scaffold_4
7324	188279	189983	scaffold_4
9236	190083	194140	scaffold_4
9487	194240	197862	scaffold_4
9598	197962	199471	scaffold_4
9630	199571	207524	scaffold_4
9668	207624	212482	scaffold_4
9642	212582	214273	scaffold_4
4747	214373	216168	scaffold_4
9192	216268	220849	scaffold_4
10422	220949	224392	scaffold_4
9563	224492	229430	scaffold_4
9864	229530	232920	scaffold_4
9733	233020	239093	scaffold_4
9475	239193	244850	scaffold_4
10203	244950	248004	scaffold_4
10044	248104	252504	scaffold_4
10015	252604	288410	scaffold_4
10430	288510	298356	scaffold_4
6906	298456	299769	scaffold_4
9907	299869	325785	scaffold_4
2737	325885	331575	scaffold_4
9509	331675	342227	scaffold_4
9918	342327	347586	scaffold_4
9741	347686	353116	scaffold_4
10330	353216	363666	scaffold_4
10075	363766	367260	scaffold_4
9247	367360	374949	scaffold_4
4031	375049	376797	scaffold_4
9829	376897	378842	scaffold_4
9887	378942	382312	scaffold_4
9601	382412	390062	scaffold_4
10089	390162	396246	scaffold_4
9797	396346	400163	scaffold_4
9653	400263	404548	scaffold_4
9079	404648	410296	scaffold_4
1427	410396	415262	scaffold_4
10428	415362	421569	scaffold_4
3833	421669	423061	scaffold_4
5563	423161	424834	scaffold_4
9342	424934	436876	scaffold_4
10287	436976	439206	scaffold_4
9663	439306	443083	scaffold_4
10383	443183	453686	scaffold_4
9190	453786	456731	scaffold_4
9948	456831	462549	scaffold_4
5838	462649	464525	scaffold_4
3054	464625	469324	scaffold_4
9180	469424	471912	scaffold_4
9717	472012	474903	scaffold_4
1212	475003	476282	scaffold_4
9913	476382	479459	scaffold_4
9546	479559	487485	scaffold_4
9551	487585	490278	scaffold_4
10106	490378	494911	scaffold_4
2795	495011	496786	scaffold_4
9246	496886	502417	scaffold_4
9605	502517	515757	scaffold_4
10288	515857	517886	scaffold_4
9448	517986	521391	scaffold_4
9245	521491	522757	scaffold_4
9485	522857	529459	scaffold_4
10165	529559	536646	scaffold_4
10340	536746	544282	scaffold_4
9462	544382	546927	scaffold_4
9896	547027	550071	scaffold_4
10345	550171	553314	scaffold_4
9950	553414	563631	scaffold_4
10429	563731	568801	scaffold_4
9690	568901	589567	scaffold_4
9528	589667	592589	scaffold_4
9241	592689	597048	scaffold_4
9570	597148	604296	scaffold_4
9442	604396	610825	scaffold_4
9654	610925	615195	scaffold_4
10464	615295	649316	scaffold_4
4920	649416	652336	scaffold_4
9232	652436	656941	scaffold_4
2951	657041	660041	scaffold_4
9569	660141	667428	scaffold_4
10280	667528	674936	scaffold_4
10412	675036	694451	scaffold_4
10390	694551	701739	scaffold_4
9550	701839	709855	scaffold_4
9250	709955	711618	scaffold_4
10463	711718	714399	scaffold_4
10190	714499	721664	scaffold_4
9677	721764	733032	scaffold_4
10379	733132	740986	scaffold_4
9256	741086	744346	scaffold_4
10192	744446	746798	scaffold_4
10396	746898	748906	scaffold_4
9202	749006	753868	scaffold_4
9746	753968	785439	scaffold_4
10094	785539	788256	scaffold_4
5832	788356	790147	scaffold_4
9082	790247	804372	scaffold_4
10004	804472	815048	scaffold_4
10141	815148	820205	scaffold_4
9159	820305	828006	scaffold_4
9906	828106	831750	scaffold_4
10032	831850	839242	scaffold_4
4238	839342	840881	scaffold_4
10196	840981	848225	scaffold_4
10108	848325	850177	scaffold_4
9078	850277	859050	scaffold_4
9914	859150	866804	scaffold_4
10104	866904	872033	scaffold_4
10095	872133	876189	scaffold_4
10372	876289	882217	scaffold_4
9234	882317	883543	scaffold_4
9319	883643	890449	scaffold_4
9422	890549	896237	scaffold_4
9086	896337	903760	scaffold_4
9338	903860	907216	scaffold_4
10125	907316	913312	scaffold_4
9905	913412	917815	scaffold_4
9463	917915	920242	scaffold_4
9635	920342	926452	scaffold_4
9094	926552	936916	scaffold_4
9841	937016	941040	scaffold_4
9880	941140	950237	scaffold_4
4581	950337	954017	scaffold_4
9899	954117	965414	scaffold_4
9683	965514	970751	scaffold_4
4761	970851	973123	scaffold_4
9313	973223	976464	scaffold_4
9154	976564	977869	scaffold_4
9590	977969	981976	scaffold_4
9524	982076	986334	scaffold_4
10295	986434	990021	scaffold_4
10336	990121	992445	scaffold_4
9679	992545	995646	scaffold_4
10349	995746	999691	scaffold_4
9267	999791	1024910	scaffold_4
10284	1025010	1028399	scaffold_4
519	1028499	1032556	scaffold_4
10120	1032656	1034965	scaffold_4
2736	1035065	1036612	scaffold_4
9332	1036712	1041171	scaffold_4
9384	1041271	1048604	scaffold_4
1385	1048704	1052517	scaffold_4
9110	1052617	1057896	scaffold_4
10138	1057996	1088812	scaffold_4
9554	1088912	1090482	scaffold_4
10341	1090582	1095333	scaffold_4
9461	1095433	1106868	scaffold_4
9337	1106968	1108533	scaffold_4
10221	1108633	1112058	scaffold_4
